"taxon"	"run"	"require_overlap"	"dist_type"	"dist_threshold"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Diptera"	35	FALSE	"dadn"	4	19578	2892	8073	117	991	670	0.0144927536231884	0.676084762865792
"Diptera"	36	FALSE	"dadn"	4.5	19578	2534	8073	90	991	719	0.0111482720178372	0.725529767911201
"Diptera"	37	FALSE	"dadn"	5	19578	2253	8073	68	991	745	0.00842313885792147	0.751765893037336
"Diptera"	38	FALSE	"dadn"	6	19578	1782	8073	42	991	812	0.00520252694165738	0.819374369323915
"Blattodea"	35	FALSE	"dadn"	4	49	17	5	0	2	2	0	1
"Blattodea"	36	FALSE	"dadn"	4.5	49	15	5	0	2	2	0	1
"Blattodea"	37	FALSE	"dadn"	5	49	15	5	0	2	2	0	1
"Blattodea"	38	FALSE	"dadn"	6	49	11	5	0	2	2	0	1
"Hymenoptera"	35	FALSE	"dadn"	4	15886	2890	5680	384	491	337	0.0676056338028169	0.686354378818737
"Hymenoptera"	36	FALSE	"dadn"	4.5	15886	2409	5680	279	491	358	0.0491197183098592	0.729124236252546
"Hymenoptera"	37	FALSE	"dadn"	5	15886	2089	5680	212	491	373	0.0373239436619718	0.759674134419552
"Hymenoptera"	38	FALSE	"dadn"	6	15886	1525	5680	131	491	406	0.0230633802816901	0.826883910386965
"Orthoptera"	35	FALSE	"dadn"	4	1431	1149	27	4	13	10	0.148148148148148	0.769230769230769
"Orthoptera"	36	FALSE	"dadn"	4.5	1431	1136	27	3	13	10	0.111111111111111	0.769230769230769
"Orthoptera"	37	FALSE	"dadn"	5	1431	1123	27	3	13	12	0.111111111111111	0.923076923076923
"Orthoptera"	38	FALSE	"dadn"	6	1431	1082	27	3	13	12	0.111111111111111	0.923076923076923
"Coleoptera"	35	FALSE	"dadn"	4	3107	311	1698	4	233	171	0.00235571260306243	0.733905579399142
"Coleoptera"	36	FALSE	"dadn"	4.5	3107	282	1698	4	233	184	0.00235571260306243	0.789699570815451
"Coleoptera"	37	FALSE	"dadn"	5	3107	253	1698	3	233	188	0.00176678445229682	0.8068669527897
"Coleoptera"	38	FALSE	"dadn"	6	3107	200	1698	1	233	200	0.000588928150765607	0.858369098712446
"Entomobryomorpha"	35	FALSE	"dadn"	4	976	274	193	2	82	73	0.0103626943005181	0.890243902439024
"Entomobryomorpha"	36	FALSE	"dadn"	4.5	976	242	193	1	82	74	0.00518134715025907	0.902439024390244
"Entomobryomorpha"	37	FALSE	"dadn"	5	976	200	193	1	82	75	0.00518134715025907	0.914634146341463
"Entomobryomorpha"	38	FALSE	"dadn"	6	976	136	193	1	82	78	0.00518134715025907	0.951219512195122
"Hemiptera"	35	FALSE	"dadn"	4	2142	178	878	5	116	90	0.00569476082004556	0.775862068965517
"Hemiptera"	36	FALSE	"dadn"	4.5	2142	157	878	3	116	95	0.00341685649202733	0.818965517241379
"Hemiptera"	37	FALSE	"dadn"	5	2142	141	878	3	116	95	0.00341685649202733	0.818965517241379
"Hemiptera"	38	FALSE	"dadn"	6	2142	108	878	1	116	102	0.00113895216400911	0.879310344827586
"Lepidoptera"	35	FALSE	"dadn"	4	1968	147	1587	19	47	26	0.0119722747321991	0.553191489361702
"Lepidoptera"	36	FALSE	"dadn"	4.5	1968	128	1587	14	47	28	0.00882167611846251	0.595744680851064
"Lepidoptera"	37	FALSE	"dadn"	5	1968	110	1587	9	47	30	0.0056710775047259	0.638297872340426
"Lepidoptera"	38	FALSE	"dadn"	6	1968	88	1587	5	47	32	0.00315059861373661	0.680851063829787
"Dermaptera"	35	FALSE	"dadn"	4	9	0	5	0	0	0	0	NA
"Dermaptera"	36	FALSE	"dadn"	4.5	9	0	5	0	0	0	0	NA
"Dermaptera"	37	FALSE	"dadn"	5	9	0	5	0	0	0	0	NA
"Dermaptera"	38	FALSE	"dadn"	6	9	0	5	0	0	0	0	NA
"Plecoptera"	35	FALSE	"dadn"	4	64	5	38	0	9	8	0	0.888888888888889
"Plecoptera"	36	FALSE	"dadn"	4.5	64	4	38	0	9	8	0	0.888888888888889
"Plecoptera"	37	FALSE	"dadn"	5	64	4	38	0	9	8	0	0.888888888888889
"Plecoptera"	38	FALSE	"dadn"	6	64	3	38	0	9	9	0	1
"Psocodea"	35	FALSE	"dadn"	4	131	20	67	1	15	14	0.0149253731343284	0.933333333333333
"Psocodea"	36	FALSE	"dadn"	4.5	131	15	67	0	15	14	0	0.933333333333333
